线路编号,线路名称,线路走向,线路长度,首站,末站,高峰发车间隔,平峰发车间隔,起点首班时间,起点末班时间
bc22894b-8731-4bb5-8484-8c2e122e48f9,36,青花路首末站、青花路、永安路、永莲路、浒杨路、青花路、虎殿路、藕前路、藕巷街、城北西路、金储街、虎池路、白洋街、长泾塘路、金业街、虎北路、白洋街、虎殿路、平海路、人民路、平川路、江乾路、西汇路、东汇路、东汇支路、北环路、东环路、苏安首末站,22,青花路首末站,苏安首末站,15,20,05:45:00,19:30:00
decad920-9da3-4a83-ae33-656ce47968ac,36,苏安首末站、东环路、北环路、东汇支路、东汇路、西汇路、江乾路、平川路、人民路、平海路、虎殿路、白洋街、虎北路、金业街、长泾塘路、白洋街、虎池路、金储街、城北西路、金政街、虎殿路、金筑街、城北西路、藕巷街、藕前路、虎殿路、青花路、浒杨路、永莲路、永安路、青花路、青花路首末站,23.9,苏安首末站,青花路首末站,15,20,06:25:00,20:10:00
8e8cd793-cabc-42c8-b6a6-722a50750216,39,金山路首末站、金山路、金山南路、玉山路、塔园路、狮山路、三香路、桐泾南路、胥江路、新市路、人民路、南环路、迎春路、湄长路、汽车南站公交换乘枢纽,18.2,金山路首末站,汽车南站公交换乘枢纽,10,15,05:15:00,21:45:00
2f3022aa-d016-455f-8d42-e96fc113ec41,39,汽车南站公交换乘枢纽、湄长路、南环路、冬青路、南环路、人民路、新市路、胥江路、桐泾南路、三香路、狮山路、塔园路、玉山路、金山南路、金山路、金山路首末站,18.2,汽车南站公交换乘枢纽,金山路首末站,10,15,05:15:00,22:30:00
0a43fd82-6932-4034-ab7e-287f42c6f436,142,独墅湖高教区首末站、林泉路、仁爱路、松涛路、敦煌路、金鸡湖大道、星波街、水坊路、星州街、中新大道西、东环路、北环路,18,独墅湖高教区首末站,官渎里立交桥,15,25,06:50:00,19:50:00
93684646-9846-47d0-a309-c198c39d661c,142,北环路、东环路、中新大道西、星州街、水坊路、星波街、金鸡湖大道、敦煌路、松涛街、仁爱路、林泉路、独墅湖高教区首末站,18,官渎里立交桥,独墅湖高教区首末站,15,25,06:00:00,19:00:00
076f4db7-dc99-45c8-9ca5-1a5540b002ad,313,华东电器城首末站、北环东路、东环路、娄门路、唐家巷、北园路、齐门路、西北街、人民路、景德路、阊胥路、金门路、何山路、滨河路、金山路、客运西站公交换乘枢纽,17.3,华东电器城首末站,客运西站公交换乘枢纽,7,15,05:15:00,23:25:00
997bfc43-4a1f-4cad-a1a8-1cb7bd63a45a,313,客运西站公交换乘枢纽、邓尉路、长江路、金山路、滨河路、何山路、金门路、阊胥路、景德路、人民路、西北街、齐门路、北园路、百家巷、东北街、娄门路、东环路、北环东路、华东电器城首末站,16.2,客运西站公交换乘枢纽,华东电器城首末站,7,15,05:00:00,22:45:00
9641c24b-b064-4ec5-84cc-28a1446cecc5,332,兰风寺首末站、马涧路、联港路、嵩山路、湘江路、鹿山路、金枫路、华山路、滨河路、何山路、西环路、干将路、广济路、爱河桥路、石路南,18.7,兰风寺首末站,石路老街坊,10,15,06:00:00,20:30:00
14275ee1-b0ff-4283-b2c9-e456baa01576,332,石路南、爱河桥路、广济路、干将路、西环路、何山路、滨河路、华山路、金枫路、鹿山路、湘江路、嵩山路、联港路、马涧路、兰风寺首末站。,18.7,石路南,兰风寺首末站,10,15,06:20:00,20:55:00
435B9068-C36C-0CB0-AB87-E3C998AA5C99,512,灵岩山首末站=>中山西路=>金枫南路=>七子西路=>禾粮路=>珠江南路=>宝带西路=>宝带东路=>迎春南路=>南环东路=>东南环首末站,20.5,灵岩山首末站②,南环桥（华东装饰城）,10,25,05:30:00,19:00:00
0784E3B7-2585-BC10-5C40-7570AEC1539C,512,东南环立交首末站=>东环路=>南环东路=>迎春南路=>吴中东路=>东吴北路=>宝带西路=>珠江南路=>禾粮路=>七子西路=>金枫南路=>中山西路=>灵岩山首末站,20.5,南环桥（华东装饰城）,木渎严家花园（灵岩山）,10,25,05:30:00,19:00:00
3851F710-DE9B-4B44-A9D0-2F5A4B629AC8,816,客运西站,23.1,润南巷北,客运西站,15,20,06:00:00,20:30:00
0FB4B6E6-DA84-4DFC-9FFA-AC05429DECD7,816,润南巷北,23.1,客运西站公交换乘枢纽,润南巷北,15,20,06:10:00,21:00:00
6d2132ca-6870-4598-bd5a-656ef03c5880,923,宝带西路首末站、宝带西路、友新路、解放东路、桐泾路、劳动路、三香路、阊胥路、干将路、临顿路、齐门路、北环路、上高路、苏站路、平泉路、江星路、平海路、平海路首末站,20,宝带西路首末站,平海路首末站,10,15,06:20:00,21:35:00
7e268e90-1f2e-4bc9-9f65-9c13e11242ec,923,平海路首末站、平海路、江星路、平泉路、苏站路、上高路、北环路、齐门路、临顿路、干将路、阊胥路、劳动路、桐泾路、福星路、友新路、宝带西路、宝带西路首末,20,平海路首末站,宝带西路首末站,10,15,05:15:00,20:30:00
07101b1a-40c3-4775-a3bd-792e5432b410,949,平海路首末站、江月路、平泷路、广济北路、平河路、江月路、平川路、清塘路、广济路、金门路、阊胥路、道前街、吉庆街、西大街、新市路、人民路、南环东路、东环路、东南环立交换乘枢纽站,18.5,平海路首末站南,南环桥（华东装饰城）,10,15,05:00:00,21:00:00
7ba2aef1-496b-41f0-b2d3-9bf4f78b41c8,949,东南环立交换乘枢纽站→南环东路→人民路→新市路→西大街→吉庆街→道前街→阊胥路→金门路→广济路→清塘路→平川路→江月路→平河路→广济北路→平泷路→江月路→平海路首末站,15.6,南环桥（华东装饰城）,平海路首末站南,10,15,06:00:00,22:00:00
